ScientistName#preparation#date#components#login#password
Ланчеков Алексей Тимофеевич#Зылорик#1489-05-21#Chemical_63 Chemical_71 Chemical_40#Ланчеков_АТ#KuedlBNg0V
Ампипогов Михаил Юрьевич#Иммунивит#1664-02-17#Chemical_100 Chemical_6 Chemical_44#Ампипогов_МЮ#5aWzSHrhJg
Тюлюлюева Анна Яковлевна#Нитросорбид#1827-09-25#Chemical_18 Chemical_69 Chemical_93#Тюлюлюева_АЯ#J4yRFAn6WO
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0902-11-21#Chemical_15 Chemical_82 Chemical_21#Неветруева_ЕЭ#ps67efRcK8
Курочкин Руслан Аркадиевич#Золедроновая кислота#1389-01-05#Chemical_44 Chemical_62 Chemical_73#Курочкин_РА#WmdVKoeL9i
Рутковский Антон Кириллович#Бактрим#1327-01-22#Chemical_19 Chemical_27 Chemical_68#Рутковский_АК#Xjkv1mgDo7
Шабунов Юрий Алексиевич#Парацетамол#0970-10-22#Chemical_41 Chemical_31 Chemical_39#Шабунов_ЮА#VqsJx2fkQA
Кожетев Максим Аркадиевич#Алпразолам#1743-04-03#Chemical_26 Chemical_76 Chemical_16#Кожетев_МА#gbk0WODo4n
Хусаинов Антон Алексеевич#Росувастатин#0949-06-08#Chemical_89 Chemical_77 Chemical_35#Хусаинов_АА#L10abnixZU
Вендеров Никита Тимофеевич#Витамин С#1119-02-24#Chemical_43 Chemical_97 Chemical_3#Вендеров_НТ#QvI79BV3Ep
Дергунская Яна Эдуардовна#Колчицин#1909-04-19#Chemical_70 Chemical_7 Chemical_23#Дергунская_ЯЭ#2DwJPhfOW9
Заботнов Анатолий Максимович#Тианептин#1454-04-22#Chemical_75 Chemical_98 Chemical_63#Заботнов_АМ#K3B2Abv6ja
Рубинов Руслан Иванович#Рамиприл#1276-02-24#Chemical_38 Chemical_46 Chemical_16#Рубинов_РИ#bOwAy6JMf0
Крючатов Ярослав Антонович#Миртазапин#1734-03-17#Chemical_51 Chemical_64 Chemical_70#Крючатов_ЯА#ZuL8ITWAFr
Жебракова Полина Игоревна#Бисопролол#1886-02-19#Chemical_87 Chemical_27 Chemical_19#Жебракова_ПИ#OW2GpVwUXi
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#1451-11-13#Chemical_37 Chemical_65 Chemical_92#Данивецкая_ВЭ#yPgd7VMRjX
Мятлев Георгий Денисович#Азитромицин#1987-08-26#Chemical_16 Chemical_14 Chemical_48#Мятлев_ГД#2Aqo5r94TZ
Нетунаев Руслан Петрович#Клопидогрел#1969-06-01#Chemical_99 Chemical_87 Chemical_25#Нетунаев_РП#FOlI69cvtW
Аранышев Иван Юрьевич#Тианептин#1035-08-27#Chemical_56 Chemical_60 Chemical_53#Аранышев_ИЮ#fAsoF6ncZI
Курмелев Леонид Николаевич#Спазмалгон#1543-08-10#Chemical_44 Chemical_43 Chemical_15#Курмелев_ЛН#AebXvDnc1C
Арончикова Вероника Викторовна#Живина#2000-01-25#Chemical_22 Chemical_91 Chemical_60#Арончикова_ВВ#Ci7JNkRVUB
Гизулина Галина Ивановна#Омепразол#1875-10-22#Chemical_9 Chemical_3 Chemical_59#Гизулина_ГИ#HMEW8lSFDP
Мразевский Артём Викторович#Диклофенак#1450-12-12#Chemical_98 Chemical_9 Chemical_50#Мразевский_АВ#d1FZ4kRpPC
Окладнова Алена Максимовна#Агонал#1765-03-28#Chemical_26 Chemical_32 Chemical_27#Окладнова_АМ#7Xv2at0QHN
Курыпина Анастасия Валерьевна#Золекс#1663-06-14#Chemical_1 Chemical_94 Chemical_63#Курыпина_АВ#cUvVynG5Op
Алтамонов Борис Аркадиевич#Оланзапин#1215-11-17#Chemical_57 Chemical_81 Chemical_21#Алтамонов_БА#uSFL26aKRw
Бардаева Анна Михайловна#Пароксетин#1368-03-04#Chemical_20 Chemical_65 Chemical_42#Бардаева_АМ#jh9WVqZ2EO
Родных Игорь Михаилович#Валидол#1123-03-07#Chemical_77 Chemical_45 Chemical_100#Родных_ИМ#dGBE6oO5vg
Маговский Константин Юриевич#Ацетилсалициловая кислота#1315-08-02#Chemical_73 Chemical_92 Chemical_9#Маговский_КЮ#x2DEFhCZ4L
Гергиев Олег Кириллович#Омепразол#1333-04-12#Chemical_6 Chemical_93 Chemical_45#Гергиев_ОК#TYvKBG4cmC
Русалина Дарья Алексеевна#Ибупрофен#1390-11-03#Chemical_26 Chemical_30 Chemical_82#Русалина_ДА#HF5isTd6qu
Бухтулова Виктория Алексеевна#Бромгексин#1408-11-08#Chemical_72 Chemical_8 Chemical_45#Бухтулова_ВА#W6fBruUVgY
Сабаткоев Федор Викторович#Нимесулид#1531-01-04#Chemical_55 Chemical_67 Chemical_74#Сабаткоев_ФВ#6nu8xeY5Ll
Шмитов Никита Игоревич#Левофлоксацин#1817-07-04#Chemical_41 Chemical_81 Chemical_61#Шмитов_НИ#xvPWl63LOy
Стенцова Лиза Петровна#Диклофенак#1261-11-17#Chemical_65 Chemical_13 Chemical_29#Стенцова_ЛП#IkQZ3hRs49
Ярычевский Максим Евгеньевич#Глюкозамин#1106-01-17#Chemical_34 Chemical_86 Chemical_88#Ярычевский_МЕ#1YjVX9xsOL
Шкваркин Федор Юрьевич#Тианептин#0929-07-27#Chemical_67 Chemical_56 Chemical_43#Шкваркин_ФЮ#DwcfYtZS91
Магусумова Ирина Олеговна#Дикарбазин#0991-07-16#Chemical_51 Chemical_15 Chemical_2#Магусумова_ИО#WP1w36UmL9
Шаморкина Галина Федоровна#Кладрибин#1633-08-02#Chemical_61 Chemical_62 Chemical_48#Шаморкина_ГФ#0O1Na9ERJB
Цицеров Альберт Антонович#Небиволол#1820-01-05#Chemical_6 Chemical_48 Chemical_7#Цицеров_АА#L3lIYj01my
Улерьянова Ксения Евгеньевна#Диклофенак#1523-11-17#Chemical_1 Chemical_14 Chemical_96#Улерьянова_КЕ#EHD6fLVMdh
Ханмурзина Карина Игоревна#Енап#1309-08-18#Chemical_21 Chemical_1 Chemical_34#Ханмурзина_КИ#bg9lN2p7E0
Гарская Евгения Никитична#Пилипен#1983-11-20#Chemical_2 Chemical_15 Chemical_11#Гарская_ЕН#agPH46L1mZ
Гнетнев Григорий Денисович#Евалар солгар мультивитамини#1074-07-16#Chemical_12 Chemical_69 Chemical_99#Гнетнев_ГД#vV9nqQDBMm
Бельцов Алексей Яковлевич#Ретардин#2011-04-09#Chemical_2 Chemical_23 Chemical_92#Бельцов_АЯ#XcKuoV7vGg
Федурин Владимир Алексеевич#Амитриптилин#0982-10-20#Chemical_5 Chemical_75 Chemical_78#Федурин_ВА#zTdFu4x7Ht
Акацков Анатолий Кириллович#Бетаин#1567-02-19#Chemical_73 Chemical_17 Chemical_48#Акацков_АК#tGK0g4XUoV
Кумакова Жанна Борисовна#Лоразепам#1605-07-21#Chemical_70 Chemical_36 Chemical_6#Кумакова_ЖБ#vbspruGA31
Кобызева Ольга Андреевна#Лантус#1198-01-23#Chemical_25 Chemical_64 Chemical_89#Кобызева_ОА#2jezcZbNPT
Кимятов Владимир Евгеньевич#Дектанол#1854-12-15#Chemical_43 Chemical_98 Chemical_34#Кимятов_ВЕ#X6qMbiKO8J
Милавина Виолетта Аркадьевна#Росувастатин#1215-12-04#Chemical_40 Chemical_57 Chemical_47#Милавина_ВА#dLuVsa4qNt
Манетов Павел Павлович#Бисакодил#0969-07-05#Chemical_11 Chemical_13 Chemical_51#Манетов_ПП#Y0B5iF4Obt
Сайдакова Людмила Вадимовна#Мелоксикам#1620-02-12#Chemical_3 Chemical_23 Chemical_56#Сайдакова_ЛВ#1weZX64ypq
Туржанский Семён Антонович#Уоллтапс#1042-06-13#Chemical_18 Chemical_78 Chemical_92#Туржанский_СА#83RTg4E0mv
Цыпушкина Елена Андреевна#Енап#1837-04-20#Chemical_77 Chemical_69 Chemical_1#Цыпушкина_ЕА#Y3MRxjrm1f
Лунарева Ксения Алексеевна#Ранитидин#1382-08-04#Chemical_10 Chemical_97 Chemical_88#Лунарева_КА#mAh5qbEcvz
Ивлюшин Георгий Николаевич#Амоксициллин#1202-01-01#Chemical_85 Chemical_54 Chemical_72#Ивлюшин_ГН#W9FvnsqA6g
Гудашов Юрий Алексиевич#Ибупрофен#1736-03-19#Chemical_7 Chemical_9 Chemical_40#Гудашов_ЮА#A1mPJMKQui
Чачкин Владислав Денисович#Небиволол#1474-01-02#Chemical_85 Chemical_98 Chemical_94#Чачкин_ВД#9lHQtmRe6O
Тайдаков Виталий Романович#Габапентин#1154-10-13#Chemical_10 Chemical_61 Chemical_4#Тайдаков_ВР#gNb3sGpQWX
Бояршинов Алексей Адамович#Ингавирин#1907-06-08#Chemical_32 Chemical_35 Chemical_22#Бояршинов_АА#74J10WFdmi
Докшукина Оксана Петровна#Пилипен#1491-03-01#Chemical_93 Chemical_32 Chemical_8#Докшукина_ОП#iYxNCHWE4M
Бганцева Клавдия Егоровна#Левофлоксацин#1306-02-15#Chemical_18 Chemical_16 Chemical_12#Бганцева_КЕ#fT5myUdRb6
Чубокова Виолетта Валерьевна#Бактрим#1103-03-12#Chemical_6 Chemical_72 Chemical_15#Чубокова_ВВ#H4FwUo3MpG
Голощапов Станислав Яковлевич#Азитромицин#1419-08-05#Chemical_17 Chemical_73 Chemical_39#Голощапов_СЯ#TJaj83hEsn
Лукьянцев Эдуард Евгеньевич#Оксикодон#1320-05-12#Chemical_40 Chemical_66 Chemical_81#Лукьянцев_ЭЕ#Vo7PAeis2J
Мазаркина Инна Сергеевна#Урсофальк#1174-11-25#Chemical_96 Chemical_27 Chemical_81#Мазаркина_ИС#ZO9jWGvVTL
Иманалин Борис Кириллович#Сульфасалазин#1684-08-28#Chemical_53 Chemical_71 Chemical_80#Иманалин_БК#VQ9SmoTY4p
Поканкина Марина Михайловна#Глюкозамин#1008-12-26#Chemical_2 Chemical_85 Chemical_55#Поканкина_ММ#Lmb1cDr6Ms
Такинова Жанна Эдуардовна#Тикалиптин#1257-06-04#Chemical_2 Chemical_60 Chemical_35#Такинова_ЖЭ#mIxM8CKTJP
Клецкина Виктория Яковлевна#Ёжик#1800-08-04#Chemical_32 Chemical_18 Chemical_21#Клецкина_ВЯ#28Cg1zXF7L
Космынин Константин Павлович#Мидокалм#1380-09-07#Chemical_63 Chemical_19 Chemical_25#Космынин_КП#L9tSsWp6Df
Курцапов Виктор Иванович#Витамин С#1104-12-05#Chemical_11 Chemical_22 Chemical_63#Курцапов_ВИ#b0CGV7FTgf
Шарафанова Виктория Егоровна#Протоник#1004-04-20#Chemical_9 Chemical_97 Chemical_88#Шарафанова_ВЕ#Cr4UleIZmJ
Лушаков Руслан Василиевич#Омепразол#1128-03-25#Chemical_12 Chemical_17 Chemical_62#Лушаков_РВ#DE5OigvCRp
Балченкова Оксана Вадимовна#Ранитидин#1438-04-13#Chemical_9 Chemical_16 Chemical_4#Балченкова_ОВ#T1drvSlMFZ
Комаровцев Михаил Максимович#Оксикодон#1424-12-02#Chemical_6 Chemical_45 Chemical_21#Комаровцев_ММ#2F4kHscYKm
Машурцева Алена Кирилловна#Левотироксин#1548-02-02#Chemical_42 Chemical_6 Chemical_92#Машурцева_АК#6jrqFR2myd
Алшибекова Вероника Леонидовна#Преднизолон#1231-04-18#Chemical_64 Chemical_29 Chemical_68#Алшибекова_ВЛ#fHyEcOiwu7
Карликов Федор Викторович#Ацетилсалициловая кислота#1340-05-22#Chemical_56 Chemical_36 Chemical_38#Карликов_ФВ#kSQc4LyKTN
Махначев Павел Максимович#Урсофальк#0903-09-18#Chemical_33 Chemical_5 Chemical_47#Махначев_ПМ#qUWkZRKFu7
Мухоткин Валентин Кириллович#Пилипен#1051-12-04#Chemical_41 Chemical_17 Chemical_15#Мухоткин_ВК#ONgwofqX9u
Ведмедова Раиса Дмитриевна#Бетаин#1312-08-23#Chemical_78 Chemical_84 Chemical_23#Ведмедова_РД#9ICvKjYVsG
Отовина Любовь Игоревна#Индометацин#1600-11-20#Chemical_44 Chemical_90 Chemical_85#Отовина_ЛИ#jqcdO026vl
Алавердиев Степан Олегович#Росувастатин#1710-06-20#Chemical_8 Chemical_73 Chemical_53#Алавердиев_СО#gPsA8oObZa
Хотькова Виктория Игоревна#Сертралин#1015-01-18#Chemical_77 Chemical_22 Chemical_2#Хотькова_ВИ#ofwEiNC7v6
Болхова Яна Никитична#Валидол#1988-08-09#Chemical_27 Chemical_66 Chemical_94#Болхова_ЯН#5EfxmiAr8Y
Савыкин Геннадий Георгиевич#Тианептин#1002-05-22#Chemical_46 Chemical_14 Chemical_72#Савыкин_ГГ#N69JlO14Z0
Бобова Марина Вадимовна#Виагра#1968-03-15#Chemical_33 Chemical_16 Chemical_31#Бобова_МВ#rgC98Lis31
Будрецова Клавдия Вадимовна#Сертралин#1664-01-24#Chemical_61 Chemical_38 Chemical_92#Будрецова_КВ#cIxr4ShefZ
Мятов Алексей Юриевич#Рамиприл#1425-08-18#Chemical_72 Chemical_56 Chemical_10#Мятов_АЮ#BTIkUO70D8
Кувецкая Валерия Леонидовна#Гидрохлоротиазид#1422-08-22#Chemical_17 Chemical_69 Chemical_59#Кувецкая_ВЛ#YBRmbZi95l
Буралкина Екатерина Аркадьевна#Омега-3 кислоты#1873-05-13#Chemical_72 Chemical_28 Chemical_90#Буралкина_ЕА#812eaoxwOS
Хихеткин Артур Евгеньевич#Азитромицин#1705-12-14#Chemical_39 Chemical_80 Chemical_63#Хихеткин_АЕ#Ef8spkPlYV
Майоркин Николай Фёдорович#Бисакодил#1587-07-04#Chemical_8 Chemical_2 Chemical_54#Майоркин_НФ#YoiUIuF2Tm
Кудисов Леонид Фёдорович#Триптаны#1862-02-05#Chemical_14 Chemical_99 Chemical_4#Кудисов_ЛФ#dUuXstGg9w
Калмыков Эдуард Георгиевич#Лоразепам#1256-01-24#Chemical_59 Chemical_99 Chemical_20#Калмыков_ЭГ#3vSrkfOIlT
Бетова Наталья Василевна#Дектанол#1422-04-20#Chemical_38 Chemical_61 Chemical_89#Бетова_НВ#5svOF4bXeS
Искуснова Алла Максимовна#Золедроновая кислота#1269-06-24#Chemical_80 Chemical_10 Chemical_51#Искуснова_АМ#dbPSt1rJ9R
Ващугина Надежда Петровна#Метформин#1166-02-10#Chemical_11 Chemical_45 Chemical_38#Ващугина_НП#8lyN2bMwzj
Каинкова Виктория Валерьевна#Амлодипин#1718-05-07#Chemical_3 Chemical_98 Chemical_89#Каинкова_ВВ#xIZBErAU61
Заиров Кирилл Максимович#Пропанолол#1288-01-06#Chemical_27 Chemical_70 Chemical_95#Заиров_КМ#HMO3JbQwm7
Хайзникова Дарья Сергеевна#Пилипен#1987-10-10#Chemical_97 Chemical_82 Chemical_99#Хайзникова_ДС#0ZVywAQKFB
Литвинцов Степан Яковлевич#Ниссан#1343-04-25#Chemical_57 Chemical_33 Chemical_36#Литвинцов_СЯ#il5PDgUhTz
Кушаев Геннадий Игоревич#Диклофенак#1001-05-07#Chemical_16 Chemical_48 Chemical_94#Кушаев_ГИ#J8vbuSRh9T
Шинякова Светлана Егоровна#Зинорам#1157-11-16#Chemical_26 Chemical_5 Chemical_8#Шинякова_СЕ#kgTtuc3Fo0
Федулин Альберт Иванович#Амоксиклав#1063-06-15#Chemical_78 Chemical_30 Chemical_55#Федулин_АИ#m2bKl7UXg5
Одноценова Мария Василевна#Бактрим#1426-04-13#Chemical_14 Chemical_19 Chemical_45#Одноценова_МВ#fNmQ5EIDtL
Любарцев Борис Викторович#Амитриптилин#1655-01-24#Chemical_81 Chemical_12 Chemical_93#Любарцев_БВ#pUmP2LiMVW
Османова Екатерина Егоровна#Миртазапин#1509-03-03#Chemical_96 Chemical_72 Chemical_69#Османова_ЕЕ#yZoF6njarI
Потрягина Кристина Романовна#Пропанолол#1060-03-02#Chemical_58 Chemical_14 Chemical_83#Потрягина_КР#bo93KLcY7w
Балуев Семён Антонович#Норматен#1662-11-07#Chemical_95 Chemical_58 Chemical_71#Балуев_СА#ar68uRSdCV
Екимовский Владислав Фёдорович#Венолайфт#0926-06-22#Chemical_59 Chemical_56 Chemical_77#Екимовский_ВФ#qEn5w62JRu
Шпанина Маргарита Максимовна#Пентоксифиллин#1432-09-20#Chemical_12 Chemical_22 Chemical_37#Шпанина_ММ#5D4tkdaosJ
Пошнагова Юлия Кирилловна#Железа препараты#1815-11-04#Chemical_61 Chemical_38 Chemical_2#Пошнагова_ЮК#28SR1NLow5
Кудинкова Ирина Михайловна#Кандесартан#1580-12-23#Chemical_90 Chemical_100 Chemical_60#Кудинкова_ИМ#bv5OIBwesl
Водоморина Софья Яковлевна#Метопролол#1599-06-03#Chemical_33 Chemical_79 Chemical_68#Водоморина_СЯ#4NYlA7wgj3
Липезина Анна Алексеевна#Тианептин#1244-04-02#Chemical_17 Chemical_84 Chemical_70#Липезина_АА#82RtDGczY3
Илалов Тарас Яковлевич#Допамин#1025-05-04#Chemical_51 Chemical_21 Chemical_67#Илалов_ТЯ#SnuXgq3vKT
Лакушова Тамара Ивановна#Бетаин#1016-09-01#Chemical_91 Chemical_90 Chemical_42#Лакушова_ТИ#ilKJLzX3Sh
Ярмизина Алиса Богдановна#Живина#1120-09-19#Chemical_11 Chemical_15 Chemical_69#Ярмизина_АБ#6Ii0wD1rTE
Зулков Станислав Антонович#Валацикловир#1630-11-10#Chemical_7 Chemical_61 Chemical_87#Зулков_СА#4HgFoy8NiI
Кочурин Евгений Данилович#Транексамовая кислота#1574-01-11#Chemical_97 Chemical_25 Chemical_5#Кочурин_ЕД#muf1PZgbyB
Череватова Вероника Вадимовна#Кандесартан#0998-12-19#Chemical_39 Chemical_85 Chemical_90#Череватова_ВВ#Ohvr3B0uD9
Курьянская Любовь Федоровна#Железа препараты#1432-03-23#Chemical_31 Chemical_72 Chemical_15#Курьянская_ЛФ#i9bmHPpnZ2
Бачалдина Яна Максимовна#Урсофальк#1492-06-18#Chemical_16 Chemical_96 Chemical_33#Бачалдина_ЯМ#QM0y14BkqG
Наруцкая Катерина Андреевна#Венолайфт#0951-01-04#Chemical_84 Chemical_47 Chemical_3#Наруцкая_КА#xSIUT6jYXW
Набилкова Софья Борисовна#Дексаметазон#1625-08-25#Chemical_6 Chemical_96 Chemical_4#Набилкова_СБ#SVaYrkj7ML
Меркулов Андрей Аркадиевич#Мелоксикам#1905-09-07#Chemical_46 Chemical_74 Chemical_56#Меркулов_АА#PhQ3RUixzt
Скитский Вадим Викторович#Лоразепам#1725-10-11#Chemical_14 Chemical_81 Chemical_84#Скитский_ВВ#xMLf4FpJb6
Шаульская Надежда Максимовна#Дектанол#1077-04-05#Chemical_27 Chemical_31 Chemical_39#Шаульская_НМ#WY6zsjNf5U
Распевин Константин Валериевич#Гидрохлоротиазид#1634-09-05#Chemical_31 Chemical_94 Chemical_68#Распевин_КВ#9Wei7TX1Ea
Агешкин Александр Романович#Бетаметазон#1403-04-27#Chemical_97 Chemical_18 Chemical_58#Агешкин_АР#ym3CFiSqjY
Хайдина Маргарита Алексеевна#Бромгексин#1448-08-07#Chemical_71 Chemical_18 Chemical_99#Хайдина_МА#wp5sXcqYD8
Духиева Алла Никитична#Гидрохлоротиазид#1163-04-13#Chemical_64 Chemical_11 Chemical_44#Духиева_АН#ms3uID5kK6
Щуринова Ольга Вадимовна#Валацикловир#1171-09-14#Chemical_1 Chemical_26 Chemical_84#Щуринова_ОВ#oT8yAu5zri
Кеплина Наталия Борисовна#Витамин С#1811-03-23#Chemical_49 Chemical_75 Chemical_27#Кеплина_НБ#qF0GPBksxA
Шелмаков Георгий Николаевич#Золаир#1188-05-12#Chemical_93 Chemical_31 Chemical_58#Шелмаков_ГН#49ThjiaEgy
Лошадина Екатерина Евгеньевна#Жасмин#1783-12-14#Chemical_11 Chemical_44 Chemical_39#Лошадина_ЕЕ#7qWLiwUbDz
Ароматова Анастасия Максимовна#Железа препараты#1239-07-25#Chemical_47 Chemical_7 Chemical_75#Ароматова_АМ#8UX9YVBIhD
Голыбина Оксана Михайловна#Евалар солгар мультивитамини#2022-02-08#Chemical_100 Chemical_14 Chemical_94#Голыбина_ОМ#qktzcumrK5
Кувыршина Валерия Игоревна#Золекс#1630-01-01#Chemical_64 Chemical_71 Chemical_27#Кувыршина_ВИ#Wb6OHCizs3
Хитьков Анатолий Петрович#Аллопуринол#1519-07-04#Chemical_87 Chemical_96 Chemical_19#Хитьков_АП#FJU10QTXmq
Шибилкин Яков Кириллович#Антациды#1518-10-06#Chemical_83 Chemical_15 Chemical_80#Шибилкин_ЯК#LI5PWKt8H9
Кереметин Вячеслав Тимофеевич#Зинорам#1637-04-21#Chemical_83 Chemical_25 Chemical_38#Кереметин_ВТ#ApPw3jk4lr
Брокина Дарья Олеговна#Ацетилсалициловая кислота#1327-01-03#Chemical_8 Chemical_68 Chemical_90#Брокина_ДО#fGJYzWbP8x
Ачин Герасим Данилович#Гидрохлоротиазид#1014-01-22#Chemical_18 Chemical_70 Chemical_37#Ачин_ГД#ocAu7SRHde
Тановицкий Тарас Виталиевич#Тикалиптин#1762-03-15#Chemical_55 Chemical_91 Chemical_31#Тановицкий_ТВ#QJoLx8tA1y
Беломожнов Михаил Романович#Левотироксин#1072-09-24#Chemical_46 Chemical_12 Chemical_12#Беломожнов_МР#ZRXt9BzlId
Хорошилин Кирилл Фёдорович#Мезим#1820-07-08#Chemical_16 Chemical_44 Chemical_52#Хорошилин_КФ#O7ZjmJXsKU
Киржанкова Алиса Вадимовна#Виалар#1652-12-11#Chemical_76 Chemical_49 Chemical_89#Киржанкова_АВ#j3eg4qpL0N
Цуканов Иван Иванович#Венолайфт#1674-07-26#Chemical_9 Chemical_26 Chemical_26#Цуканов_ИИ#GtN4nz1cwP
Потешных Дмитрий Иванович#Колчицин#1097-08-05#Chemical_97 Chemical_4 Chemical_22#Потешных_ДИ#UwkgGR5B2a
Суряднова Виолетта Богдановна#Протоник#1700-07-01#Chemical_88 Chemical_25 Chemical_95#Суряднова_ВБ#QnTzgE9ZJO
Кажайкина Карина Эдуардовна#Парацетамол#1254-11-19#Chemical_52 Chemical_10 Chemical_70#Кажайкина_КЭ#yqHJYRcsd1
Рабовский Дмитрий Яковлевич#Витамин С#0924-02-08#Chemical_35 Chemical_80 Chemical_55#Рабовский_ДЯ#ND8MPqyaGS
Едамов Аркадий Тимофеевич#Амоксициллин#1567-10-19#Chemical_10 Chemical_40 Chemical_23#Едамов_АТ#7i6pULuo23
Столбова София Василевна#Атенолол#0940-07-17#Chemical_47 Chemical_34 Chemical_45#Столбова_СВ#vK7mw4lTt1
Смаркин Семён Андреевич#Золаир#1973-12-11#Chemical_66 Chemical_71 Chemical_50#Смаркин_СА#6N0wgYdnQz
Колтакова Алиса Максимовна#Иммунивит#1056-07-16#Chemical_52 Chemical_1 Chemical_80#Колтакова_АМ#g8dPnMs2a9
Фимошина Виктория Романовна#Левотироксин#1814-03-23#Chemical_72 Chemical_3 Chemical_59#Фимошина_ВР#w3kOEM47N9
Крыницкий Владимир Борисович#Омепразол#0959-10-21#Chemical_4 Chemical_20 Chemical_41#Крыницкий_ВБ#sC0jG4BvuQ
Косых Жанна Михайловна#Пентоксифиллин#1449-09-05#Chemical_87 Chemical_89 Chemical_72#Косых_ЖМ#KPty6osjNf
Кваснинов Кирилл Адамович#Ретардин#1267-09-14#Chemical_22 Chemical_11 Chemical_68#Кваснинов_КА#WPB7x0H9hf
